filebasename,tot_aggs,n_bud,n_mom
20220617_y236_012_D3Dc005_predict_predict.tif,2,0,2
20220617_y236_012_D3Dc009_predict_predict.tif,2,0,2
20220617_y236_012_D3Dc010_predict_predict.tif,2,0,2
20220617_y236_012_D3Dc019_predict_predict.tif,2,0,2
20220617_y236_013_D3Dc000_predict_predict.tif,1,0,1
20220617_y236_013_D3Dc001_predict_predict.tif,1,0,1
20220617_y236_013_D3Dc002_predict_predict.tif,1,0,1
20220617_y236_013_D3Dc003_predict_predict.tif,2,0,2
20220617_y236_013_D3Dc006_predict_predict.tif,1,0,1
20220617_y236_013_D3Dc009_predict_predict.tif,2,0,2
20220617_y236_013_D3Dc010_predict_predict.tif,1,0,1
20220617_y236_013_D3Dc013_predict_predict.tif,3,0,3
20220617_y236_013_D3Dc015_predict_predict.tif,2,1,1
20220617_y236_013_D3Dc018_predict_predict.tif,2,0,2
20220617_y236_013_D3Dc019_predict_predict.tif,4,0,4
20220617_y236_013_D3Dc024_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc000_predict_predict.tif,0,0,0
20220617_y236_014_D3Dc001_predict_predict.tif,3,0,3
20220617_y236_014_D3Dc002_predict_predict.tif,4,1,3
20220617_y236_014_D3Dc003_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc005_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc006_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc010_predict_predict.tif,5,1,4
20220617_y236_014_D3Dc011_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc013_predict_predict.tif,2,0,2
20220617_y236_014_D3Dc017_predict_predict.tif,2,1,1
20220617_y236_014_D3Dc018_predict_predict.tif,3,0,3
20220617_y236_014_D3Dc019_predict_predict.tif,1,0,1
20220617_y236_014_D3Dc020_predict_predict.tif,2,0,2
20220617_y236_014_D3Dc021_predict_predict.tif,1,0,1
20220617_y236_015_D3Dc000_predict_predict.tif,3,0,3
20220617_y236_015_D3Dc002_predict_predict.tif,2,0,2
20220617_y236_015_D3Dc003_predict_predict.tif,2,0,2
20220617_y236_015_D3Dc004_predict_predict.tif,2,0,2
20220617_y236_015_D3Dc006_predict_predict.tif,0,0,0
20220617_y236_015_D3Dc007_predict_predict.tif,3,1,2
20220617_y236_015_D3Dc009_predict_predict.tif,2,0,2
20220617_y236_015_D3Dc010_predict_predict.tif,2,0,2
20220617_y236_015_D3Dc011_predict_predict.tif,1,0,1
20220617_y236_015_D3Dc013_predict_predict.tif,2,1,1
20220617_y236_015_D3Dc015_predict_predict.tif,1,0,1
20220617_y236_015_D3Dc016_predict_predict.tif,2,1,1
